序号,分类,子类型,场景名称(标题),功能名(featureName),描述(desc),标签(tag),行业(industry),角色(role),meta,图片URL(image)
100,AI 应用,AI 操作,客户反馈趋势分析,AI 趋势分析,AI 定期分析客户反馈数据，识别高频问题、满意度变化趋势和潜在风险，输出结构化洞察报告。,AI 应用,零售,运营,反馈分析 · 趋势洞察,https://aka.doubaocdn.com/s/OJkgxeTgKd
101,AI 应用,AI 节点,项目延期自动预警,AI 风险预警,AI 实时监控项目进度，当关键节点临近截止日期但未完成时，自动预警并通知相关责任人。,AI 应用,制造,项目经理,进度预警 · 自动通知,https://aka.doubaocdn.com/s/Gkf92x6XVm
102,AI 应用,AI 节点,预算超支预警,AI 成本预警,AI 实时监控项目预算使用情况，当实际支出接近或超出预算时自动预警，推荐成本优化方案。,AI 应用,制造,高管,预算监控 · 超支预警,https://aka.doubaocdn.com/s/Gkf92x6XVm
103,AI 应用,AI 节点,供应链风险预警,AI 供应链预警,供应链关键节点出现异常时（供应商延期、原材料涨价），AI 自动预警并评估对项目交付的影响。,AI 应用,制造,高管,供应链 · 风险预警,https://aka.doubaocdn.com/s/Gkf92x6XVm
104,AI 应用,AI 节点,客户流失预警,AI 流失预警,AI 分析客户活跃度、使用频率和反馈数据，识别有流失风险的客户并自动预警，建议挽留策略。,AI 应用,金融,销售,客户流失 · 预警挽留,https://aka.doubaocdn.com/s/TYVL9Q4ue4
105,AI 应用,AI 操作,项目复盘报告自动生成,AI 复盘分析,项目结束后，AI 自动分析全流程数据，生成复盘报告：亮点、问题、改进建议和行动项。,AI 应用,能源,项目经理,复盘分析 · 持续改进,https://aka.doubaocdn.com/s/RAu5lPDwZP
106,AI 应用,AI 操作,版本发布总结,AI 版本总结,版本发布后，AI 根据本版本的需求、缺陷和变更记录自动生成 Release Notes，包含功能清单和已知问题。,AI 应用,消费电子,研发,发布说明 · 自动生成,https://aka.doubaocdn.com/s/bv0qSfwVgG
107,AI 应用,AI 操作,OKR 季度复盘,AI OKR 复盘,季度末，AI 自动分析 OKR 达成情况，生成复盘报告：目标完成率、关键结果推进、偏差原因和改进建议。,AI 应用,教育,高管,OKR · 季度复盘,https://aka.doubaocdn.com/s/Rg1eTtTPwR
108,AI 应用,AI 操作,客户服务月度总结,AI 服务总结,AI 每月自动汇总客户服务数据：工单量、解决率、满意度、高频问题，生成服务月度总结报告。,AI 应用,零售,运营,服务总结 · 月度报告,https://aka.doubaocdn.com/s/RAu5lPDwZP
109,AI 应用,AI 节点,申报材料合规检查,AI 合规审计,科研项目申报时，AI 自动检查申报材料的完整性和合规性，标注缺失项和格式问题，减少人工审核时间。,AI 应用,教育,运营,申报审查 · 合规检查,https://aka.doubaocdn.com/s/hYfl2K2xZW
110,AI 应用,AI 节点,门店选址智能评估,AI 选址评估,门店筹建时，AI 综合分析商圈数据、人流量、竞品分布和租金水平，输出选址评估报告和推荐方案。,AI 应用,零售,运营,选址评估 · 数据驱动,https://aka.doubaocdn.com/s/Bx4o2nVU1J
111,AI 应用,AI 节点,赛事报名资格自动审核,AI 资格审核,学科赛事报名时，AI 自动审核参赛资格：年级、学科、往届成绩等，不符合条件的自动驳回并说明原因。,AI 应用,教育,运营,报名审核 · 资格校验,https://aka.doubaocdn.com/s/hYfl2K2xZW
112,AI 应用,AI 操作,审计报告自动生成,AI 审计报告,审计项目结束后，AI 根据审计过程和发现自动生成审计报告初稿，包含问题清单、风险评级和改进建议。,AI 应用,金融,高管,审计报告 · 自动生成,https://aka.doubaocdn.com/s/DJabXgkph8
